2025-09-08 18:20:19,355 | aci.level2.error | ERROR | Failed to save episodic memory: Object of type ndarray is not JSON serializable
2025-09-08 18:20:21,953 | aci.level2.error | ERROR | Failed to extract and store knowledge: 'str' object has no attribute 'value'
2025-09-08 18:20:22,101 | aci.level2.error | ERROR | Failed to save memory graph to persistent storage: can't adapt type 'numpy.float32'
2025-09-08 18:20:44,020 | aci.level2.error | ERROR | Failed to save episodic memory: Object of type ndarray is not JSON serializable
2025-09-08 18:21:10,626 | aci.level2.error | ERROR | Failed to save episodic memory: Object of type ndarray is not JSON serializable
2025-09-08 18:21:44,968 | aci.level2.error | ERROR | Failed to save episodic memory: Object of type ndarray is not JSON serializable
2025-09-08 18:22:40,267 | aci.level2.error | ERROR | Failed to save episodic memory: Object of type ndarray is not JSON serializable
2025-09-08 18:23:36,648 | aci.level2.error | ERROR | Failed to save episodic memory: Object of type ndarray is not JSON serializable
2025-09-08 18:23:58,211 | aci.level2.error | ERROR | Failed to save memory graph to persistent storage: can't adapt type 'numpy.float32'
2025-09-08 18:24:25,242 | aci.level2.error | ERROR | Failed to save episodic memory: Object of type ndarray is not JSON serializable
2025-09-08 18:25:13,029 | aci.level2.error | ERROR | Failed to save episodic memory: Object of type ndarray is not JSON serializable
2025-09-08 18:26:01,972 | aci.level2.error | ERROR | Failed to save episodic memory: Object of type ndarray is not JSON serializable
2025-09-08 18:26:51,149 | aci.level2.error | ERROR | Failed to save episodic memory: Object of type ndarray is not JSON serializable
2025-09-08 18:27:30,198 | aci.level2.error | ERROR | Failed to save episodic memory: Object of type ndarray is not JSON serializable
2025-09-08 18:27:32,945 | aci.level2.error | ERROR | Failed to extract and store knowledge: 'str' object has no attribute 'value'
2025-09-08 18:27:33,066 | aci.level2.error | ERROR | Failed to save memory graph to persistent storage: can't adapt type 'numpy.float32'
2025-09-08 18:28:00,505 | aci.level2.error | ERROR | Failed to save episodic memory: Object of type ndarray is not JSON serializable
2025-09-08 18:28:47,309 | aci.level2.error | ERROR | Failed to save episodic memory: Object of type ndarray is not JSON serializable
2025-09-08 18:29:20,659 | aci.level2.error | ERROR | Failed to save episodic memory: Object of type ndarray is not JSON serializable
2025-09-08 18:29:49,506 | aci.level2.error | ERROR | Failed to save episodic memory: Object of type ndarray is not JSON serializable
2025-09-08 18:30:19,771 | aci.level2.error | ERROR | Failed to save episodic memory: Object of type ndarray is not JSON serializable
2025-09-08 18:30:20,498 | aci.level2.error | ERROR | Failed to save memory graph to persistent storage: can't adapt type 'numpy.float32'
