2025-09-08 18:20:19,369 | aci.level3.error | ERROR | Failed to save episodic memory: Object of type ndarray is not JSON serializable
2025-09-08 18:20:21,962 | aci.level3.error | ERROR | Failed to extract and store knowledge: 'str' object has no attribute 'value'
2025-09-08 18:20:22,106 | aci.level3.error | ERROR | Failed to save memory graph to persistent storage: can't adapt type 'numpy.float32'
2025-09-08 18:20:44,023 | aci.level3.error | ERROR | Failed to save episodic memory: Object of type ndarray is not JSON serializable
2025-09-08 18:21:10,630 | aci.level3.error | ERROR | Failed to save episodic memory: Object of type ndarray is not JSON serializable
2025-09-08 18:21:44,974 | aci.level3.error | ERROR | Failed to save episodic memory: Object of type ndarray is not JSON serializable
2025-09-08 18:22:40,273 | aci.level3.error | ERROR | Failed to save episodic memory: Object of type ndarray is not JSON serializable
2025-09-08 18:23:36,653 | aci.level3.error | ERROR | Failed to save episodic memory: Object of type ndarray is not JSON serializable
2025-09-08 18:23:58,217 | aci.level3.error | ERROR | Failed to save memory graph to persistent storage: can't adapt type 'numpy.float32'
2025-09-08 18:24:25,246 | aci.level3.error | ERROR | Failed to save episodic memory: Object of type ndarray is not JSON serializable
2025-09-08 18:25:13,033 | aci.level3.error | ERROR | Failed to save episodic memory: Object of type ndarray is not JSON serializable
2025-09-08 18:26:01,976 | aci.level3.error | ERROR | Failed to save episodic memory: Object of type ndarray is not JSON serializable
2025-09-08 18:26:51,154 | aci.level3.error | ERROR | Failed to save episodic memory: Object of type ndarray is not JSON serializable
2025-09-08 18:27:30,208 | aci.level3.error | ERROR | Failed to save episodic memory: Object of type ndarray is not JSON serializable
2025-09-08 18:27:32,948 | aci.level3.error | ERROR | Failed to extract and store knowledge: 'str' object has no attribute 'value'
2025-09-08 18:27:33,073 | aci.level3.error | ERROR | Failed to save memory graph to persistent storage: can't adapt type 'numpy.float32'
2025-09-08 18:28:00,509 | aci.level3.error | ERROR | Failed to save episodic memory: Object of type ndarray is not JSON serializable
2025-09-08 18:28:47,316 | aci.level3.error | ERROR | Failed to save episodic memory: Object of type ndarray is not JSON serializable
2025-09-08 18:29:20,666 | aci.level3.error | ERROR | Failed to save episodic memory: Object of type ndarray is not JSON serializable
2025-09-08 18:29:49,509 | aci.level3.error | ERROR | Failed to save episodic memory: Object of type ndarray is not JSON serializable
2025-09-08 18:30:19,782 | aci.level3.error | ERROR | Failed to save episodic memory: Object of type ndarray is not JSON serializable
2025-09-08 18:30:20,502 | aci.level3.error | ERROR | Failed to save memory graph to persistent storage: can't adapt type 'numpy.float32'
